Freq (MHz),re(S11),im(S11),re(Z),im(Z)
1.000,-0.99309,0.02009,0.168,0.506
21.995,-0.87507,0.43593,0.597,11.763
42.990,-0.60607,0.75891,0.899,24.051
63.985,-0.23039,0.93857,1.378,39.193
84.980,0.18902,0.94540,2.272,60.936
105.975,0.57307,0.77423,4.616,99.044
126.970,0.85240,0.45119,15.496,200.209
147.965,0.96543,0.03657,1315.038,1444.144
168.960,0.88537,-0.38822,19.958,-236.932
189.955,0.62682,-0.73498,4.923,-108.171
210.950,0.24541,-0.93344,2.376,-64.790
231.945,-0.17996,-0.94403,1.673,-41.341
252.940,-0.56340,-0.77464,1.355,-25.446
273.935,-0.83384,-0.46336,1.258,-12.951
294.930,-0.94751,-0.07504,1.271,-1.975
315.925,-0.88953,0.32200,1.430,8.764
336.920,-0.67786,0.65717,1.673,20.239
357.915,-0.34710,0.87676,2.145,33.938
378.910,0.04580,0.94016,3.177,52.394
399.905,0.43450,0.83551,5.557,82.084
420.900,0.74522,0.57528,14.362,145.325
441.895,0.91863,0.20104,122.985,427.400
462.890,0.91419,-0.21739,107.105,-397.987
483.885,0.72738,-0.59236,14.113,-139.309
504.880,0.39367,-0.84789,5.803,-78.035
525.875,-0.01365,-0.93233,3.442,-49.155
546.870,-0.41575,-0.83252,2.485,-30.864
567.865,-0.73084,-0.57395,2.052,-17.261
588.860,-0.90529,-0.21415,1.831,-5.826
609.855,-0.91072,0.17883,1.882,4.856
630.850,-0.76001,0.53442,2.021,15.796
651.845,-0.47669,0.80072,2.332,28.377
672.840,-0.11121,0.92536,3.140,44.253
693.835,0.27574,0.89063,4.961,67.586
714.830,0.61959,0.69283,10.892,110.902
735.825,0.84995,0.37286,42.888,230.819
756.820,0.92298,-0.02795,1097.370,-416.328
777.815,0.81737,-0.42362,35.820,-199.062
798.810,0.54732,-0.73583,10.651,-98.589
819.805,0.17030,-0.89785,5.515,-60.075
840.800,-0.24375,-0.87845,3.643,-37.887
861.795,-0.60068,-0.68655,2.766,-22.632
882.790,-0.83658,-0.36605,2.369,-10.438
903.785,-0.91431,0.02002,2.232,0.546
924.780,-0.82795,0.39496,2.266,11.293
945.775,-0.59367,0.70200,2.552,23.149
966.770,-0.26420,0.88193,3.207,37.118
987.765,0.11422,0.91338,4.716,56.421
1008.760,0.47636,0.78340,8.974,88.229
1029.755,0.75597,0.51364,25.463,158.835
1050.750,0.89781,0.14562,272.903,460.115
1071.745,0.86618,-0.25742,108.984,-305.818
1092.740,0.65940,-0.60861,20.023,-125.121
1113.735,0.32081,-0.83195,8.884,-72.128
1134.730,-0.08709,-0.88550,5.298,-45.044
1155.725,-0.47338,-0.75142,3.862,-27.469
1176.720,-0.75343,-0.46844,3.232,-14.221
1197.715,-0.88898,-0.10117,2.787,-2.827
1218.710,-0.85240,0.28390,2.745,8.084
1239.705,-0.66205,0.61163,2.991,19.500
1260.700,-0.34947,0.83111,3.725,33.088
1281.695,0.01922,0.90367,5.145,50.810
1302.690,0.38993,0.81851,8.540,78.541
1323.685,0.68531,0.58145,21.992,133.020
1344.680,0.85816,0.23886,133.797,309.514
1365.675,0.86616,-0.15979,258.063,-367.799
1386.670,0.69924,-0.52091,33.128,-143.978
1407.665,0.38275,-0.77353,13.027,-78.985
1428.660,-0.01858,-0.85747,7.457,-48.369
1449.655,-0.41668,-0.75114,5.098,-29.214
1470.650,-0.70741,-0.48896,4.129,-15.501
1491.645,-0.85783,-0.11653,3.615,-3.363
1512.640,-0.82878,0.27023,3.513,7.907
1533.635,-0.64392,0.59525,3.779,19.473
1554.630,-0.33254,0.81674,4.551,33.435
1575.625,0.03326,0.88571,6.236,51.522
1596.620,0.39870,0.77953,12.039,80.428
1617.615,0.68968,0.53426,31.294,139.957
1638.610,0.84076,0.17989,225.889,311.667
1659.605,0.81880,-0.21207,182.888,-272.558
1680.600,0.61485,-0.55719,33.948,-121.445
1701.595,0.27460,-0.77311,14.543,-68.788
1722.590,-0.13502,-0.79954,8.885,-41.480
1743.585,-0.50194,-0.63418,6.506,-23.859
1764.580,-0.75333,-0.31564,5.244,-9.945
1785.575,-0.82278,0.08116,4.753,2.438
1806.570,-0.70220,0.45029,4.905,14.524
1827.565,-0.41822,0.72716,5.833,28.627
1848.560,-0.06005,0.84133,7.878,45.936
1869.555,0.31018,0.78266,13.379,71.908
1890.550,0.61975,0.55069,34.905,122.963
1911.545,0.77786,0.20507,193.039,224.370
1932.540,0.75693,-0.17914,216.601,-196.476
1953.535,0.55403,-0.51355,46.401,-111.010
1974.530,0.20763,-0.69978,20.903,-62.618
1995.525,-0.18324,-0.69561,12.807,-36.923
2016.520,-0.52858,-0.48705,9.391,-18.924
2037.515,-0.71064,-0.13423,8.100,-4.559
2058.510,-0.68494,0.25478,8.023,8.774
2079.505,-0.46349,0.56962,9.340,23.096
